slug,sort_order,name,url,blurb
boston-ma,1,Mayor's Health Line,https://www.boston.gov/government/cabinets/boston-public-health-commission/physical-health-and-wellness/sexual-health/getting-tested,"Free phone service from the Boston Public Health Commission that connects residents to low-cost and free testing locations across the city. Call 617-534-5050 or toll-free 1-800-847-0710, Monday through Friday."
boston-ma,2,Boston Medical Center Patient Financial Services,https://www.bmc.org/patient-financial-services,"BMC is Boston's largest safety-net hospital. Financial counselors help uninsured patients apply for MassHealth, Health Safety Net, and BMC's own payment-assistance program before or after lab testing."
los-angeles-ca,1,LAC+USC Medical Center Financial Assistance,https://dhs.lacounty.gov/,"LAC+USC, run by LA County Department of Health Services, offers Ability-to-Pay financial assistance for uninsured residents. Counselors help with applications at the hospital and county clinics."
chicago-il,1,Cook County Health CareLink,https://www.cookcountyhealth.org/,"Cook County Health's CareLink program offers discounted care, including labs, for uninsured Cook County residents based on income. Apply through any Cook County Health facility."
phoenix-az,1,Valleywise Health Financial Assistance,https://valleywisehealth.org/,"Valleywise Health is Maricopa County's public safety-net system. Financial counselors help uninsured patients apply for AHCCCS, Valleywise's payment-assistance program, and sliding fee scales."
new-york-ny,1,NYC Health + Hospitals Options Program,https://www.nychealthandhospitals.org/,"NYC Health + Hospitals operates the city's public hospital system. The Options program offers a sliding fee scale for uninsured New Yorkers, including labs, based on income and household size."
dallas-tx,1,Parkland Health Financial Assistance,https://www.parklandhospital.com/,"Parkland is Dallas County's public safety-net hospital. The Parkland Financial Assistance Program helps uninsured Dallas County residents qualify for discounted care, including labs."
orlando-fl,1,Orlando Health Financial Assistance,https://www.orlandohealth.com/,Orlando Health offers a financial-assistance program for uninsured and underinsured patients. Counselors help with applications for charity care and Medicaid eligibility.
tampa-fl,1,Tampa General Hospital Financial Assistance,https://www.tgh.org/,"Tampa General is the area's primary safety-net hospital. Financial counselors help uninsured patients apply for charity care, Medicaid, and the hospital's payment-assistance program."
denver-co,1,Denver Health Financial Assistance,https://denverhealth.org/,"Denver Health is the city's main safety-net hospital. The Denver Health Financial Assistance Program offers discounted care, including labs, for uninsured residents based on income."
atlanta-ga,1,Grady Health System Financial Counseling,https://www.gradyhealth.org/,"Grady is Atlanta's largest safety-net hospital. Financial counselors help uninsured Fulton and DeKalb residents apply for the Grady Card, Medicaid, and charity care."
indianapolis-in,1,Eskenazi Health Financial Assistance,https://www.eskenazihealth.edu/,"Eskenazi Health is the Marion County safety-net hospital. Financial counselors help uninsured patients apply for the Eskenazi Health Advantage program, Medicaid, and HIP."
charlotte-nc,1,Atrium Health Financial Assistance,https://www.atriumhealth.org/,"Atrium Health operates Charlotte's main safety-net facilities. Financial counselors help uninsured patients apply for charity care, Medicaid, and the hospital's payment-assistance program."
nashville-tn,1,Nashville General Hospital Financial Assistance,https://nashvillegeneral.org/,"Nashville General is the city's safety-net hospital. Financial counselors help uninsured Davidson County residents apply for charity care, TennCare, and sliding fee programs."
detroit-mi,1,Henry Ford Health Financial Assistance,https://www.henryford.com/,Henry Ford Health offers a financial-assistance program for uninsured and underinsured patients across Detroit. Counselors help with applications for charity care and Medicaid.
columbus-oh,1,OhioHealth Financial Assistance,https://www.ohiohealth.com/,OhioHealth offers a financial-assistance program for uninsured and underinsured patients in central Ohio. Counselors help with applications for charity care and Medicaid.
las-vegas-nv,1,UMC Southern Nevada Financial Assistance,https://www.umcsn.com/,"University Medical Center is Clark County's public safety-net hospital. Financial counselors help uninsured residents apply for Medicaid, charity care, and payment plans."
houston-tx,1,Harris Health Financial Assistance Program,https://harrishealth.org/financial-assistance,Harris Health is the public safety-net system for Harris County. The Financial Assistance Program covers labs and primary care for uninsured residents based on income.
miami-fl,1,Jackson Health System Financial Assistance,https://www.jacksonhealth.org/,Jackson Health is Miami-Dade's public safety-net hospital. Financial counselors help uninsured residents apply for the Jackson Charity Care program and Medicaid.
san-antonio-tx,1,University Health Financial Assistance,https://universityhealth.com/,"University Health is Bexar County's public safety-net system. CareLink offers discounted care, including labs, for uninsured Bexar County residents based on income."
san-francisco-ca,1,Zuckerberg San Francisco General Financial Counseling,https://zuckerbergsanfranciscogeneral.org/,"ZSFG is San Francisco's public safety-net hospital. Financial counselors help uninsured residents apply for Healthy San Francisco, Medi-Cal, and the hospital's payment-assistance program."
colorado-springs-co,1,UCHealth Financial Assistance,https://www.uchealth.org/,"UCHealth, including Memorial Hospital in Colorado Springs, offers a financial-assistance program for uninsured and underinsured patients based on income."
fort-worth-tx,1,JPS Health Network Financial Assistance,https://www.jpshealthnet.org/,"JPS Health Network is Tarrant County's public safety-net hospital system. JPS Connection offers discounted care, including labs, for uninsured county residents based on income."
philadelphia-pa,1,Philadelphia Department of Public Health Health Centers,https://www.phila.gov/programs/health-centers/,"Philadelphia operates eight District Health Centers offering low-cost primary care, labs, and STD and HIV testing on a sliding fee scale. Locations are listed on the city site."
oakland-ca,1,Alameda Health System Financial Counseling,https://www.alamedahealthsystem.org/,"Alameda Health System, including Highland Hospital, is the county safety-net system. Financial counselors help uninsured residents apply for Medi-Cal, HealthPAC, and charity care."
